IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2018,true,,,,,,,,,,,,,19,,,30,,11,19 [30 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2018,true,,,,,,,,,,,,,19,,,31,,10,19 [31 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,HUN,Hungary,Year,2018,true,,,,,,,,,,,,,19,,,31,,11,19 [31 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2018,true,,,,,,,,,,,,,19,,,31,,11,19 [31 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2018,true,,,,,,,,,,,,,19,,,32,,11,19 [32 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,CHN,China,Year,2018,true,,,,,,,,,,,,,19,,,33,,11,19 [33 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2018,true,,,,,,,,,,,,,19,,,34,,10,19 [34 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2018,true,,,,,,,,,,,,,20,,,33,,11,20 [33 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,NOR,Norway,Year,2018,true,,,,,,,,,,,,,20,,,33,,12,20 [33 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2018,true,,,,,,,,,,,,,20,,,38,,10,20 [38 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2018,true,,,,,,,,,,,,,21,,,29,,15,21 [29 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,GTM,Guatemala,Year,2018,true,,,,,,,,,,,,,21,,,30,,13,21 [30 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,CHL,Chile,Year,2018,true,,,,,,,,,,,,,21,,,30,,14,21 [30 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,SWE,Sweden,Year,2018,true,,,,,,,,,,,,,21,,,32,,12,21 [32 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,DEU,Germany,Year,2018,true,,,,,,,,,,,,,21,,,32,,13,21 [32 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,EST,Estonia,Year,2018,true,,,,,,,,,,,,,21,,,33,,12,21 [33 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,BLR,Belarus,Year,2018,true,,,,,,,,,,,,,21,,,33,,13,21 [33 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,NLD,Netherlands,Year,2018,true,,,,,,,,,,,,,21,,,35,,12,21 [35 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ISL,Iceland,Year,2018,true,,,,,,,,,,,,,21,,,36,,12,21 [36 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,CZE,Czechia,Year,2018,true,,,,,,,,,,,,,22,,,31,,14,22 [31 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2018,true,,,,,,,,,,,,,22,,,33,,14,22 [33 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2018,true,,,,,,,,,,,,,22,,,33,,14,22 [33 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,BEL,Belgium,Year,2018,true,,,,,,,,,,,,,22,,,34,,13,22 [34 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,FRA,France,Year,2018,true,,,,,,,,,,,,,22,,,36,,13,22 [36 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2018,true,,,,,,,,,,,,,22,,,40,,11,22 [40 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2018,true,,,,,,,,,,,,,23,,,32,,16,23 [32 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,HTI,Haiti,Year,2018,true,,,,,,,,,,,,,23,,,32,,16,23 [32 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,DNK,Denmark,Year,2018,true,,,,,,,,,,,,,23,,,34,,14,23 [34 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,BRA,Brazil,Year,2018,true,,,,,,,,,,,,,23,,,34,,15,23 [34 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,FIN,Finland,Year,2018,true,,,,,,,,,,,,,23,,,35,,14,23 [35 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2018,true,,,,,,,,,,,,,23,,,35,,15,23 [35 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2018,true,,,,,,,,,,,,,23,,,36,,14,23 [36 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2018,true,,,,,,,,,,,,,23,,,44,,11,23 [44 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2018,true,,,,,,,,,,,,,24,,,33,,17,24 [33 – 17],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2018,true,,,,,,,,,,,,,24,,,34,,16,24 [34 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2018,true,,,,,,,,,,,,,24,,,34,,16,24 [34 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,JAM,Jamaica,Year,2018,true,,,,,,,,,,,,,24,,,35,,16,24 [35 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,MEX,Mexico,Year,2018,true,,,,,,,,,,,,,24,,,35,,16,24 [35 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2018,true,,,,,,,,,,,,,24,,,36,,14,24 [36 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,SEN,Senegal,Year,2018,true,,,,,,,,,,,,,24,,,36,,15,24 [36 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,GHA,Ghana,Year,2018,true,,,,,,,,,,,,,24,,,38,,14,24 [38 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2018,true,,,,,,,,,,,,,24,,,38,,14,24 [38 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2018,true,,,,,,,,,,,,,24,,,38,,14,24 [38 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,BLZ,Belize,Year,2018,true,,,,,,,,,,,,,24,,,42,,12,24 [42 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2018,true,,,,,,,,,,,,,24,,,42,,12,24 [42 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,GMB,Gambia,Year,2018,true,,,,,,,,,,,,,25,,,38,,15,25 [38 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,TGO,Togo,Year,2018,true,,,,,,,,,,,,,25,,,38,,15,25 [38 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2018,true,,,,,,,,,,,,,25,,,38,,15,25 [38 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2018,true,,,,,,,,,,,,,25,,,40,,14,25 [40 – 14],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,LVA,Latvia,Year,2018,true,,,,,,,,,,,,,25,,,40,,15,25 [40 – 15],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,BEN,Benin,Year,2018,true,,,,,,,,,,,,,26,,,38,,16,26 [38 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2018,true,,,,,,,,,,,,,26,,,39,,16,26 [39 – 16],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,USA,United States of America,Year,2018,true,,,,,,,,,,,,,26,,,43,,14,26 [43 – 14],,,EN,2021-05-05T21:00:00.000Z
